Date;Sales rep;Item;Price;Quantity;Sale
2020-01-07;Liam;Pen;3;5;15
2020-11-05;Ethan;Desk pad;9;4;36
2020-02-18;Emma;Light;399;1;399
2020-03-06;Liam;Pen;3;3;9
2020-12-29;Emma;Pen;3;5;15
2020-08-23;Noah;Light;399;2;798
2020-05-12;Ethan;Markers;4;2;8
2020-06-30;Ethan;Table;1099;1;1099
2020-10-10;Sophia;File folders;19;1;19
2020-11-17;Emma;Light;399;4;1596
2020-09-12;Ethan;File folders;19;2;38
2020-05-15;Emma;Book;12;1;12
2020-06-24;Liam;Light;399;2;798
2020-09-06;Mia;Desk pad;9;1;9
2020-12-16;Ethan;Desk pad;9;1;9
2020-07-19;Mia;Markers;4;2;8
2020-06-12;Emma;Book;12;1;12
2020-11-10;Charlotte;Markers;4;4;16
2020-07-22;Sophia;Book;12;4;48
2020-01-04;Charlotte;Light;399;4;1596
2020-07-27;William;Table;1099;3;3297
2020-09-20;William;File folders;19;1;19
2020-08-27;Mia;Pen;3;3;9
2020-06-22;Noah;Book;12;3;36
2020-02-05;Oliver;Desk chair;199;5;995
2020-05-15;Charlotte;Light;399;4;1596
2020-01-19;Emma;Markers;4;4;16
2020-09-16;Mia;Pen;3;4;12
2020-04-26;William;Table;1099;3;3297
2020-06-14;Liam;Light;399;1;399
2020-12-26;Emma;Light;399;2;798
2020-04-17;Mia;Desk chair;199;2;398
2020-05-12;Sophia;Table;1099;4;4396
2020-11-08;Sophia;Desk pad;9;2;18
2020-10-02;Sophia;Markers;4;2;8
2020-09-07;Noah;Pen;3;3;9
2020-03-17;Liam;Table;1099;3;3297
2020-07-28;Oliver;Table;1099;1;1099
2020-01-29;Oliver;Table;1099;1;1099
2020-03-02;Oliver;Pen;3;1;3
2020-10-28;Oliver;Book;12;4;48
2020-04-09;William;Table;1099;1;1099
2020-05-03;Emma;File folders;19;5;95
2020-10-06;Oliver;Desk chair;199;1;199
2020-02-27;Charlotte;Markers;4;2;8
2020-03-30;Charlotte;Light;399;3;1197
2020-11-03;Emma;Book;12;2;24
2020-05-24;Noah;Light;399;5;1995
2020-01-26;Mia;Desk pad;9;2;18
2020-10-29;Charlotte;File folders;19;1;19
2020-01-05;William;Desk pad;9;4;36
2020-09-30;Liam;File folders;19;4;76
2020-01-09;Noah;Desk pad;9;5;45
2020-06-07;Ethan;Markers;4;5;20
2020-03-21;Mia;File folders;19;2;38
2020-07-03;Mia;Markers;4;3;12
2020-12-14;Oliver;Desk pad;9;4;36
2020-04-24;Oliver;Table;1099;4;4396
2020-08-30;Emma;File folders;19;1;19
2020-03-24;Charlotte;Markers;4;4;16
2020-08-05;Sophia;Desk chair;199;3;597
2020-04-06;Noah;Desk chair;199;3;597
2020-08-14;Mia;Table;1099;4;4396
2020-06-16;Mia;Light;399;1;399
2020-08-31;Charlotte;Desk chair;199;3;597
2020-01-28;Oliver;Desk pad;9;5;45
2020-01-20;William;Markers;4;3;12
2020-06-06;William;Light;399;1;399
2020-06-17;Liam;Pen;3;4;12
2020-03-30;Liam;Table;1099;2;2198
2020-05-27;William;File folders;19;1;19
2020-05-13;Oliver;Table;1099;2;2198
2020-09-22;Oliver;Light;399;5;1995
2020-09-30;Mia;Desk pad;9;3;27
2020-12-24;William;File folders;19;3;57
2020-07-05;Oliver;Desk chair;199;5;995
2020-01-22;Emma;Light;399;5;1995
2020-12-16;Emma;Light;399;1;399
2020-03-18;Sophia;Desk pad;9;2;18
2020-08-16;Charlotte;File folders;19;2;38
2020-04-07;Noah;File folders;19;4;76
2020-02-03;Emma;Table;1099;2;2198
2020-05-16;Sophia;Desk pad;9;5;45
2020-07-02;Oliver;Desk pad;9;5;45
2020-11-03;William;Light;399;5;1995
2020-12-11;Mia;File folders;19;1;19
2020-07-06;Emma;Pen;3;3;9
2020-01-08;Emma;Table;1099;3;3297
2020-08-21;Sophia;Markers;4;3;12
2020-08-20;Sophia;Table;1099;4;4396
2020-01-28;Mia;File folders;19;2;38
2020-12-12;Ethan;Light;399;5;1995
2020-09-20;Mia;Book;12;5;60
2020-12-11;Oliver;File folders;19;1;19
2020-12-18;Emma;Desk chair;199;3;597
2020-12-27;Charlotte;Desk pad;9;1;9
2020-03-22;Oliver;Table;1099;1;1099
2020-07-06;Emma;Desk pad;9;3;27
2020-12-23;Ethan;Light;399;4;1596
2020-07-24;Sophia;Markers;4;4;16
2020-06-29;Sophia;Desk pad;9;3;27
2020-02-04;Sophia;Markers;4;1;4
2020-02-29;Ethan;Table;1099;3;3297
2020-06-13;Emma;File folders;19;4;76
2020-09-12;Charlotte;Table;1099;5;5495
2020-08-03;Ethan;Markers;4;2;8
2020-02-22;Emma;Book;12;1;12
2020-06-12;Charlotte;Desk pad;9;4;36
2020-03-09;Oliver;Book;12;1;12
2020-10-15;Oliver;Book;12;1;12
2020-07-03;Oliver;Desk chair;199;1;199
2020-12-03;Emma;File folders;19;2;38
2020-06-12;Charlotte;Book;12;3;36
2020-03-08;Liam;Markers;4;2;8
2020-07-01;Emma;Markers;4;4;16
2020-06-10;William;File folders;19;3;57
2020-04-18;Liam;Desk pad;9;2;18
2020-01-17;Noah;Book;12;1;12
2020-04-21;Ethan;Desk pad;9;4;36
2020-10-08;Noah;Markers;4;1;4
2020-12-19;Emma;File folders;19;5;95
2020-05-02;Charlotte;Desk chair;199;3;597
2020-02-20;Oliver;Book;12;1;12
2020-07-07;Ethan;Table;1099;3;3297
2020-10-24;Oliver;Desk chair;199;4;796
2020-09-11;Oliver;Desk pad;9;3;27
2020-11-28;Liam;Table;1099;5;5495
2020-05-05;Noah;Desk pad;9;1;9
2020-04-25;Sophia;Light;399;5;1995
2020-07-15;Charlotte;Markers;4;1;4
2020-04-16;Ethan;Light;399;4;1596
2020-09-17;Liam;Desk chair;199;4;796
2020-06-30;Charlotte;Desk pad;9;4;36
2020-01-01;Mia;Table;1099;2;2198
2020-03-22;Emma;Light;399;2;798
2020-10-28;Noah;Light;399;2;798
2020-12-15;Liam;File folders;19;2;38
2020-07-23;Charlotte;Table;1099;4;4396
2020-03-05;Emma;Light;399;5;1995
2020-04-08;Emma;Pen;3;2;6
2020-10-05;Liam;Desk pad;9;4;36
2020-08-16;Sophia;Desk pad;9;1;9
2020-06-30;Ethan;Desk chair;199;1;199
2020-06-09;Mia;Pen;3;2;6
2020-09-02;William;Light;399;1;399
2020-01-26;William;Book;12;5;60
2020-03-21;Noah;Light;399;1;399
2020-07-11;Oliver;Book;12;1;12
2020-12-18;Sophia;File folders;19;4;76
2020-01-15;Charlotte;Book;12;3;36
2020-05-16;Emma;Book;12;3;36
2020-10-31;William;Table;1099;4;4396
2020-11-04;Emma;Book;12;1;12
2020-07-18;Oliver;Light;399;4;1596
2020-09-16;Liam;Markers;4;1;4
2020-03-21;Sophia;File folders;19;4;76
2020-02-12;Emma;Desk pad;9;4;36
2020-12-16;Oliver;Desk pad;9;5;45
2020-11-25;Oliver;Markers;4;1;4
2020-01-23;Charlotte;Markers;4;1;4
2020-11-10;Charlotte;Book;12;2;24
2020-04-28;Noah;Table;1099;2;2198
2020-07-19;Liam;Table;1099;2;2198
2020-05-23;Noah;File folders;19;3;57
2020-03-05;Noah;Markers;4;5;20
2020-03-25;Sophia;Light;399;3;1197
2020-01-13;William;Book;12;1;12
2020-07-22;Charlotte;Markers;4;3;12
2020-07-11;William;Markers;4;4;16
2020-11-16;Oliver;File folders;19;3;57
2020-04-17;Oliver;File folders;19;3;57
2020-01-20;Emma;Desk pad;9;3;27
2020-04-02;Sophia;Light;399;1;399
2020-07-28;William;Desk chair;199;2;398
2020-07-31;Noah;Table;1099;1;1099
2020-12-27;Liam;Book;12;2;24
2020-08-30;Noah;Book;12;4;48
2020-10-03;William;Desk pad;9;2;18
2020-12-20;Ethan;Pen;3;2;6
2020-05-09;Mia;Desk pad;9;2;18
2020-11-29;Sophia;Desk pad;9;5;45
2020-09-03;Liam;Light;399;5;1995
2020-06-20;William;Pen;3;5;15
2020-08-15;Emma;Markers;4;5;20
2020-10-27;Liam;Markers;4;2;8
2020-11-26;Emma;Markers;4;1;4
2020-11-07;William;Markers;4;2;8
2020-06-30;Ethan;Book;12;4;48
2020-04-28;Sophia;Pen;3;2;6
2020-02-28;Liam;Desk chair;199;2;398
2020-03-18;Mia;Table;1099;4;4396
2020-04-10;William;Book;12;2;24
2020-12-14;Oliver;Desk chair;199;4;796
2020-06-24;Ethan;Table;1099;2;2198
2020-10-10;William;Desk pad;9;2;18
2020-06-24;Emma;Markers;4;2;8
2020-04-15;Noah;Desk pad;9;5;45
2020-04-02;Liam;File folders;19;3;57
2020-11-12;Mia;Light;399;4;1596
2020-05-28;Oliver;Pen;3;5;15
2020-01-18;Charlotte;Markers;4;4;16
2020-08-24;William;File folders;19;4;76
2020-12-27;Sophia;Table;1099;5;5495
2020-05-30;Sophia;Table;1099;3;3297
2020-04-18;Liam;Markers;4;4;16
2020-07-23;William;Table;1099;3;3297
2020-06-01;Mia;Desk chair;199;3;597
2020-03-08;Mia;Table;1099;2;2198
2020-01-31;Liam;File folders;19;5;95
2020-03-08;Oliver;Light;399;3;1197
2020-08-28;Sophia;Desk pad;9;3;27
2020-07-24;William;Table;1099;3;3297
2020-05-02;Oliver;Desk chair;199;3;597
2020-10-07;Emma;Markers;4;1;4
2020-01-08;Mia;Markers;4;3;12
2020-08-09;Oliver;Table;1099;5;5495
2020-02-06;William;Desk chair;199;3;597
2020-09-12;Sophia;Desk chair;199;1;199
2020-11-11;Oliver;Desk pad;9;1;9
2020-10-29;Mia;Desk chair;199;2;398
2020-11-14;Sophia;Table;1099;5;5495
2020-04-06;Charlotte;File folders;19;1;19
2020-09-24;Ethan;File folders;19;5;95
2020-10-28;Liam;Light;399;5;1995
2020-01-19;Oliver;Pen;3;3;9
2020-04-04;Mia;Markers;4;1;4
2020-08-21;Noah;Book;12;3;36
2020-02-03;Ethan;Light;399;5;1995
2020-10-07;Sophia;File folders;19;1;19
2020-04-23;Emma;Markers;4;1;4
2020-08-21;Charlotte;Desk pad;9;5;45
2020-11-25;William;Markers;4;2;8
2020-03-08;Mia;File folders;19;1;19
2020-09-26;Sophia;Markers;4;4;16
2020-07-07;Charlotte;Pen;3;1;3
2020-06-12;William;Light;399;4;1596
2020-11-07;Mia;Book;12;3;36
2020-08-18;Liam;File folders;19;2;38
2020-04-17;Noah;Book;12;2;24
2020-03-16;Oliver;Table;1099;5;5495
2020-10-16;Emma;Pen;3;1;3
2020-12-28;Noah;Light;399;3;1197
2020-05-04;Oliver;Markers;4;2;8
2020-06-26;Mia;Table;1099;3;3297
2020-07-20;Ethan;Desk pad;9;4;36
2020-02-18;Liam;Pen;3;1;3
2020-02-05;Noah;Book;12;4;48
2020-11-19;Mia;Desk chair;199;4;796
2020-10-13;Oliver;Book;12;1;12
2020-01-07;Ethan;Markers;4;2;8
2020-07-23;William;Book;12;3;36
2020-09-24;Mia;Desk chair;199;5;995
2020-10-01;Emma;Desk chair;199;3;597
2020-08-27;Ethan;Book;12;2;24
2020-06-26;Emma;Desk chair;199;2;398
2020-09-05;Liam;Desk pad;9;2;18
2020-07-22;Ethan;Desk chair;199;1;199
2020-01-24;Mia;Desk chair;199;2;398
2020-12-01;Sophia;Desk chair;199;5;995
2020-08-13;Sophia;Pen;3;5;15
2020-08-02;Charlotte;Desk pad;9;2;18
2020-07-06;William;Book;12;5;60
2020-08-29;Liam;Book;12;3;36
2020-11-01;Charlotte;Markers;4;4;16
2020-06-02;Emma;Desk chair;199;5;995
2020-05-29;Sophia;Desk pad;9;2;18
2020-03-24;Charlotte;Pen;3;5;15
2020-01-08;Mia;Light;399;4;1596
2020-08-22;Oliver;Pen;3;2;6
2020-08-19;Liam;Book;12;4;48
2020-12-01;William;Table;1099;4;4396
2020-01-27;Charlotte;Desk pad;9;4;36
2020-05-26;Noah;Markers;4;4;16
2020-08-17;Emma;Pen;3;4;12
2020-01-20;Mia;Light;399;3;1197
2020-07-07;Mia;Desk pad;9;3;27
2020-06-28;Ethan;File folders;19;2;38
2020-07-09;Sophia;Desk chair;199;2;398
2020-06-26;Charlotte;File folders;19;1;19
2020-08-16;Ethan;Markers;4;3;12
2020-01-15;Mia;Markers;4;4;16
2020-09-15;Emma;File folders;19;1;19
2020-05-20;William;Desk pad;9;1;9
2020-09-01;Liam;Light;399;1;399
2020-03-31;Liam;Pen;3;3;9
2020-11-04;Emma;Light;399;1;399
2020-08-27;Emma;Pen;3;3;9
2020-04-19;Sophia;Book;12;4;48
2020-09-10;Oliver;File folders;19;5;95
2020-12-13;Noah;Light;399;5;1995
2020-09-25;William;Book;12;4;48
2020-07-15;Noah;Pen;3;1;3
2020-10-28;Ethan;Markers;4;3;12
2020-12-27;Liam;Light;399;1;399
2020-07-12;Liam;File folders;19;5;95
2020-01-15;Noah;Desk pad;9;4;36
2020-12-05;Noah;Book;12;3;36
2020-10-24;Sophia;Desk chair;199;5;995
2020-05-05;Liam;Desk pad;9;4;36
2020-10-29;Liam;File folders;19;4;76
2020-10-30;William;Desk chair;199;5;995
2020-01-09;Ethan;Pen;3;4;12
2020-04-18;Mia;Light;399;1;399
2020-07-16;William;Book;12;4;48
2020-07-13;Charlotte;Table;1099;2;2198
2020-09-25;Oliver;Desk pad;9;1;9
2020-12-22;William;Desk chair;199;3;597
2020-11-10;Mia;File folders;19;1;19
2020-11-24;Charlotte;Table;1099;2;2198
2020-06-02;Noah;Book;12;2;24
2020-09-22;Mia;Table;1099;3;3297
2020-12-24;Mia;Table;1099;5;5495
2020-11-19;Mia;Markers;4;3;12
2020-09-30;Sophia;File folders;19;3;57
2020-02-15;Charlotte;Desk chair;199;3;597
2020-03-05;Charlotte;Pen;3;4;12
2020-08-01;Mia;Light;399;3;1197
2020-08-06;Charlotte;File folders;19;2;38
2020-12-28;Liam;Book;12;5;60
2020-01-31;Sophia;Markers;4;1;4
2020-08-17;Ethan;File folders;19;4;76
2020-06-28;Sophia;Markers;4;3;12
2020-07-24;Mia;File folders;19;4;76
2020-12-26;Charlotte;Light;399;4;1596
2020-09-11;Emma;Light;399;3;1197
2020-08-17;William;Markers;4;1;4
2020-03-27;Oliver;Markers;4;1;4
2020-06-26;Oliver;Desk chair;199;5;995
2020-06-28;Oliver;File folders;19;1;19
2020-10-27;Oliver;Pen;3;5;15
2020-04-27;Liam;Table;1099;5;5495
2020-01-03;Oliver;Markers;4;4;16
2020-05-24;William;Pen;3;5;15
2020-03-23;Emma;Markers;4;4;16
2020-10-23;Noah;Light;399;2;798
2020-02-21;Charlotte;File folders;19;1;19
2020-07-19;Ethan;Book;12;3;36
2020-10-19;Ethan;Book;12;3;36
2020-06-07;Mia;Book;12;1;12
2020-09-22;Charlotte;Table;1099;5;5495
2020-06-14;Emma;Pen;3;1;3
2020-08-09;Oliver;Table;1099;3;3297
2020-05-17;Liam;File folders;19;5;95
2020-06-19;Liam;Light;399;1;399
2020-01-16;Liam;File folders;19;4;76
2020-01-22;Mia;Pen;3;2;6
2020-03-14;Charlotte;Light;399;4;1596
2020-12-06;Charlotte;Desk chair;199;1;199
2020-03-28;Charlotte;Light;399;2;798
2020-02-23;Charlotte;File folders;19;3;57
2020-08-01;Mia;Book;12;1;12
2020-02-03;Emma;Table;1099;1;1099
2020-06-25;Charlotte;Book;12;3;36
2020-09-21;Mia;Light;399;2;798
2020-02-28;Oliver;Desk chair;199;5;995
2020-10-01;Sophia;Table;1099;4;4396
2020-07-28;Sophia;Book;12;1;12
2020-06-21;Liam;Pen;3;4;12
2020-01-26;Noah;Desk chair;199;5;995
